catalog,catalog_object_id,object_name,ra,dec,objID,objName,raMean,decMean,raMeanErr,decMeanErr,nDetections,ng,nr,ni,nz,ny,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,rMeanKronMag,rMeanKronMagErr,iMeanKronMag,iMeanKronMagErr,zMeanKronMag,zMeanKronMagErr,yMeanKronMag,yMeanKronMagErr,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
Pan-STARRS1 DR2 MeanObject,119001884126354259,PSO J188.4126+09.1698,188.41263542,9.1698199,119001884126354259,PSO J188.4126+09.1698,188.41263542,9.1698199,-999.0,-999.0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.569899559020996,0.0062090000137686,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884129291773,PSO J188.4129+09.1677,188.41293449,9.1677415,119001884129291773,PSO J188.4129+09.1677,188.41293449,9.1677415,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884129832275,PSO J188.4130+09.1682,188.41299568,9.16815863,119001884129832275,PSO J188.4130+09.1682,188.41299568,9.16815863,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884130722986,PSO J188.4131+09.1688,188.41308691,9.1687572,119001884130722986,PSO J188.4131+09.1688,188.41308691,9.1687572,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884131173703,PSO J188.4131+09.1695,188.41306855,9.16945371,119001884131173703,PSO J188.4131+09.1695,188.41306855,9.16945371,0.0231699999421834,0.0231699999421834,2,0,2,0,0,0,-999.0,-999.0,18.466100692749023,0.0176570005714893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.473400115966797,0.0070429998449981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.248600006103516,0.0176570005714893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884131415985,PSO J188.4131+09.1713,188.41314181,9.17125814,119001884131415985,PSO J188.4131+09.1713,188.41314181,9.17125814,-999.0,-999.0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.531299591064451,0.00259599997662,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884132365630,PSO J188.4132+09.1710,188.4131672,9.17101049,119001884132365630,PSO J188.4132+09.1710,188.4131672,9.17101049,0.0208599995821714,0.0208599995821714,2,0,0,2,0,0,-999.0,-999.0,-999.0,-999.0,18.322799682617188,0.0144920004531741,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.171600341796877,0.0023439999204128,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.736400604248047,0.0144920004531741,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884132693495,PSO J188.4133+09.1692,188.41328277,9.16916628,119001884132693495,PSO J188.4133+09.1692,188.41328277,9.16916628,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884133104115,PSO J188.4132+09.1697,188.4132550466637,9.169649431133616,119001884133104115,PSO J188.4132+09.1697,188.4132550466637,9.169649431133616,0.0014064966730477,0.0014067712619962,43,12,13,12,5,1,19.123899459838867,0.0397550016641616,18.29840087890625,0.0257500000298023,18.305700302124023,0.0109820002689957,19.03700065612793,0.0412929989397525,-999.0,-999.0,14.758099555969238,0.1729349941015243,13.574000358581545,0.0564059987664222,-999.0,-999.0,13.3056001663208,0.0994369983673095,14.834199905395508,0.007060999982059,17.71619987487793,0.058773998171091,16.865100860595703,0.0454710014164447,16.87299919128418,0.0135589996352791,17.251100540161133,0.095329999923706,-999.0,-999.0
Pan-STARRS1 DR2 MeanObject,119001884134103421,PSO J188.4134+09.1691,188.41342728,9.16910241,119001884134103421,PSO J188.4134+09.1691,188.41342728,9.16910241,0.0010000000474974,0.0010000000474974,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
